trstplc,safty_mean
0,2.10378378378378
1,2.11374407582938
2,2.05025773195876
3,2.07071622846782
4,2.06341911764706
5,2.00290335960183
6,1.97127371273713
7,1.93524888709025
8,1.87168435013263
9,1.75633062589584
10,1.78128950695322
